,precision,recall,f1-score,support
byd,0.4752475247524752,0.9056603773584906,0.6233766233766234,53.0
ferrari,0.5245901639344263,0.9411764705882353,0.6736842105263158,68.0
volvo,0.6470588235294118,0.8088235294117647,0.7189542483660131,68.0
kia,0.6842105263157895,0.8571428571428571,0.7609756097560976,91.0
audi,0.8275862068965517,0.8759124087591241,0.851063829787234,137.0
mitsubishi,0.8589743589743589,0.8933333333333333,0.8758169934640523,75.0
porsche,0.8205128205128205,0.9411764705882353,0.8767123287671232,102.0
nissan,0.8991596638655462,0.8594377510040161,0.8788501026694046,249.0
hyundai,0.9318181818181818,0.8471074380165289,0.8874458874458875,242.0
land rover,0.9137931034482759,0.8688524590163934,0.8907563025210085,61.0
ram,0.8428571428571429,0.9516129032258065,0.8939393939393939,62.0
renault,0.9170305676855895,0.8823529411764706,0.8993576017130621,238.0
peugeot,0.888,0.925,0.9061224489795918,120.0
bmw,0.9246575342465754,0.8940397350993378,0.9090909090909091,302.0
toyota,0.9455587392550143,0.9065934065934066,0.9256661991584852,364.0
fiat,0.9507692307692308,0.9088235294117647,0.9293233082706767,340.0
ford,0.9547872340425532,0.9065656565656566,0.9300518134715026,396.0
honda,0.9453924914675768,0.9172185430463576,0.9310924369747899,302.0
caoa chery,0.9213483146067416,0.9425287356321839,0.9318181818181818,87.0
volkswagen,0.9742424242424242,0.8930555555555556,0.9318840579710145,720.0
jeep,0.9430051813471503,0.9285714285714286,0.9357326478149101,196.0
mercedes-benz,0.9417989417989417,0.9468085106382979,0.9442970822281167,188.0
chevrolet,0.9535603715170279,0.9390243902439024,0.946236559139785,328.0
citroen,0.9782608695652174,0.9574468085106383,0.967741935483871,94.0
