marca,n_noticias,f1_score,top_palavras
byd,211,0.623,"song, dolphin, plus, shark, china, chinesa, baterias, bateria"
ferrari,271,0.674,"purosangue, v12, italiana, 488, 296, f1, carros, v8"
volvo,273,0.719,"xc90, xc40, xc60, geely, 950, seguranca, google, marca"
kia,363,0.761,"sportage, stonic, rio, coreia, hyundai, sul, gt, coreana"
audi,546,0.851,"quattro, tron, q3, a3, tfsi, avant, q7, q5"
mitsubishi,302,0.876,"outlander, eclipse, triton, l200, pajero, nissan, renault, evo"
porsche,410,0.877,"911, cayenne, panamera, macan, taycan, 718, carrera, cayman"
nissan,996,0.879,"frontier, kicks, versa, sentra, leaf, march, gt, trail"
hyundai,968,0.887,"creta, hb20, tucson, i30, ioniq, santa, elantra, kona"
land rover,246,0.891,"jaguar, defender, discovery, evoque, velar, sport, chery, dynamic"
ram,250,0.894,"1500, rampage, 2500, picape, stellantis, dakota, picapes, dodge"
renault,951,0.899,"kwid, duster, megane, sandero, captur, nissan, francesa, kardian"
peugeot,482,0.906,"208, 3008, 2008, 308, citroen, psa, landtrek, francesa"
bmw,1206,0.909,"serie, x1, gs, mercedes, m3, motorrad, x7, 950"
toyota,1455,0.926,"corolla, hilux, yaris, rav4, gr, sw4, supra, etios"
fiat,1360,0.929,"argo, toro, cronos, strada, mobi, pulse, fastback, fca"
ford,1583,0.93,"ranger, mustang, ecosport, ka, focus, bronco, fiesta, fusion"
honda,1209,0.931,"civic, hr, city, fit, cr, moto, motos, wr"
volkswagen,2881,0.932,"golf, amarok, tsi, polo, cross, tiguan, id, nivus"
caoa chery,348,0.932,"tiggo, caoa, arrizo, omoda, china, barato, chinesa, 5x"
jeep,782,0.936,"compass, renegade, wrangler, cherokee, commander, gladiator, avenger, stellantis"
mercedes-benz,750,0.944,"benz, classe, amg, cla, sprinter, gla, glc, f1"
chevrolet,1311,0.946,"onix, tracker, s10, equinox, general, motors, cruze, silverado"
citroen,377,0.968,"c3, c4, aircross, basalt, cactus, peugeot, feel, jumpy"
