termo,media_abs_shap
combustao,0.019258
baterias,0.01493
totalmente,0.012157
direcao,0.011202
kwh,0.011042
hibrido,0.009489
ev,0.007486
veiculos,0.007441
bateria,0.007125
hibridos,0.006958
id,0.006458
autonomia,0.006353
hybrid,0.006286
hibrida,0.006258
evs,0.006189
ar,0.005924
potencia,0.004767
leia,0.004456
condicionado,0.004305
partida,0.004288
hibridas,0.004096
rebatimento,0.004021
logan,0.003951
retrovisores,0.003903
raptor,0.003722
bancos,0.003473
combinada,0.003353
re,0.003335
jeep,0.003269
chevrolet,0.003259
