ano,mes_sin,mes_cos,total_noticias,n_marcas_distintas,n_autores_distintos,vol_marca_lider,lider_audi,lider_bmw,lider_chevrolet,lider_fiat,lider_ford,lider_honda,lider_nissan,lider_toyota,lider_volkswagen,qtd_eletrico_real,qtd_eletrico_previsto,intervalo_inferior_90,intervalo_superior_90
2025,-0.4999999999999997,-0.8660254037844388,235,28,31,30,False,False,False,False,False,False,False,False,True,86,84.8572917782937,54.22968741686293,115.48489613972447
2018,-0.8660254037844386,0.5000000000000001,271,28,23,32,False,False,False,False,False,False,False,False,True,41,39.243782355172044,8.616177993741275,69.87138671660281
2017,0.8660254037844387,-0.4999999999999998,294,30,31,31,False,False,False,False,False,False,False,False,True,12,22.109104787369503,-8.518499574061266,52.73670914880027
2018,0.49999999999999994,-0.8660254037844387,234,26,20,30,False,False,False,False,False,False,False,False,True,21,33.71480369140663,3.08719932997586,64.3424080528374
2019,-0.4999999999999997,-0.8660254037844388,222,30,20,20,False,False,False,False,False,False,False,False,True,51,32.279130952380974,1.6515265909502048,62.906735313811744
2020,1.2246467991473532e-16,-1.0,221,26,26,22,False,False,False,False,False,False,False,False,True,22,33.493922199260446,2.8663178378296763,64.12152656069122
2016,-2.4492935982947064e-16,1.0,335,36,25,28,False,False,False,False,False,False,False,False,True,19,22.477032212885153,-8.150572148545617,53.10463657431592
2024,-1.0,-1.8369701987210297e-16,260,32,41,33,False,False,False,False,False,False,False,False,True,83,88.92781827894328,58.30021391751251,119.55542264037405
2018,1.0,6.123233995736766e-17,251,30,24,36,False,False,False,False,False,False,False,False,True,33,36.277826326179245,5.650221964748475,66.90543068761002
2017,0.49999999999999994,0.8660254037844387,416,31,34,32,False,False,False,False,False,False,False,False,True,44,23.08373646125117,-7.543867900179599,53.71134082268194
2019,0.49999999999999994,-0.8660254037844387,220,25,20,33,False,False,False,False,False,False,False,False,True,49,34.30642150877446,3.6788171473436933,64.93402587020523
2020,-0.8660254037844385,-0.5000000000000004,187,26,22,21,False,False,False,False,False,False,False,False,True,20,26.75327836052837,-3.8743260009024,57.38088272195914
2022,0.8660254037844386,0.5000000000000001,234,27,29,19,False,True,False,False,False,False,False,False,False,43,71.67715954507034,41.04955518363957,102.30476390650111
2016,-0.8660254037844386,0.5000000000000001,35,14,5,5,False,False,False,False,False,False,True,False,False,0,0.3,-30.32760436143077,30.92760436143077
2024,0.49999999999999994,0.8660254037844387,213,31,24,34,False,False,False,False,False,False,False,False,True,63,74.47731459261414,43.849710231183366,105.1049189540449
2019,0.49999999999999994,0.8660254037844387,229,27,27,22,False,False,False,False,False,False,False,False,True,37,41.50189092960415,10.874286568173382,72.12949529103491
2016,0.49999999999999994,0.8660254037844387,32,12,7,5,False,True,False,False,False,False,False,False,False,0,1.14,-29.48760436143077,31.76760436143077
2023,0.8660254037844386,0.5000000000000001,198,27,21,23,False,False,False,False,False,False,False,False,True,56,73.84609440087475,43.21849003944398,104.47369876230552
2023,-0.8660254037844385,-0.5000000000000004,231,29,21,29,False,False,False,False,False,False,False,False,True,51,75.76931001396541,45.14170565253464,106.39691437539618
2024,-2.4492935982947064e-16,1.0,184,27,32,23,False,False,False,False,False,False,False,False,True,58,80.54683960556116,49.91923524413039,111.17444396699193
2025,0.8660254037844386,0.5000000000000001,206,27,32,23,False,False,False,False,False,False,False,False,True,92,80.56461927666979,49.93701491523902,111.19222363810056
2024,0.8660254037844386,0.5000000000000001,186,28,24,16,False,False,False,False,False,False,False,False,True,68,69.90753588350648,39.279931522075714,100.53514024493725
2017,-0.5000000000000004,0.8660254037844384,233,28,22,30,False,False,False,False,False,False,False,False,True,18,27.43562718164188,-3.191977179788889,58.063231543072646
2016,1.2246467991473532e-16,-1.0,31,11,6,4,False,False,False,True,False,False,False,False,False,0,0.11,-30.51760436143077,30.73760436143077
